1 1
1918.5742	3400
1983.0355	3300
2059.6646	3200
2154.0991	3100
2277.89	3000
2308.218	2980
2341.254	2960
2377.6388	2940
2418.3135	2920
2464.6892	2900
2490.7495	2890
2519.3174	2880
2551.1949	2870
2587.5398	2860
2630.4018	2850
2655.4513	2845
2684.2698	2840
2697.2973	2838
2711.5231	2836
2727.3434	2834
2736.0495	2833
2745.4657	2832
2755.8216	2831
2767.5095	2830
2781.5297	2829
2798.9559	2828
5 11
1856.28027	11000
1975.79639	 8800
2230.93311	 6600
2497.01831	 5500
3128.21338	 4400
3445.69556	 4180
3573.61426	 4125
3765.88135	 4070	
3824.67480	 4059
3904.65674	 4048
4009.77588	 4040.300
4026.58545	 4039.750

