* csi calibration file AsyEos
* ntel    a       b
319	0.5432	-87.8920
320	0.5524	-67.0380
321	0.5433	-46.5490
322	0.6192	-56.9050
323	0.5294	-55.5030
324	0.4371	-46.1070
325	0.5916	-54.773
326	0.5395	-72.684
327	0.5360	-67.6510
328	0.6283	-85.9470
329	0.6119	-75.7540
330	0.5030	-52.3350
331	0.4385	-32.8360
332	0.6370	-111.8150
333	0.5590	-51.8040
334	0.5311	-43.1610
335	0.6028	-66.0240
336	0.5770	-69.7380
337	0.5163	-38.5100
338	0.4499	-33.3600
339	0.0000	0.0000
340	0.7374	-83.8470
341	0.5022	-63.2960
342	0.5400	-63.9740
343	0.5225	-47.7680
344	0.6063	-64.0880
345	0.5609	-55.4010
346	0.5236	-50.1790
347	0.5820	-71.9760
348	0.4748	-29.7180
349	0.5580	-53.0190
350	0.5679	-52.4690
351	0.6802	-95.2820
352	1.3691	-198.4118
353	0.7896	-102.4200
354	0.8458	-115.3100
355	0.7675	-83.9900
356	0.8604	-96.8590
357	0.9833	-114.3800
358	0.7437	-86.4990
359	0.7362	-94.1990
360	0.7120	-103.2700
361	-1.0000	-1.0000
362	0.7412	-93.5540
363	0.6979	-74.5812
364	0.7359	-108.8700
365	0.5426	-50.0220
366	0.8335	-128.3900
367	0.7656	-102.3200
368	0.7481	-83.6210
369	0.7404	-104.5800
370	0.5026	-42.8470
371	0.6504	-81.2760
372	0.6834	-95.3550
373	0.4756	-26.979
374	0.6501	-88.1740
375	0.6751	-60.288
376	0.7226	-82.2920
377	0.7219	-99.9850
378	0.7424	-82.4700
379	0.5999	-43.0740
380	0.7981	-103.4000
381	0.6878	-70.3950
382	0.7196	-83.5970
383	0.6810	-63.5140
384	0.5970	-81.3770
385	-1.0000	-1.0000
386	0.6752	-95.6590
387	-1.0000	-1.0000
388	0.5620	-57.7180
389	0.6944	-87.0740
390	0.6767	-87.0910
391	0.6560	-72.9540
392	-1.0000	-1.0000
393	0.6475	-63.6440
394	0.6019	-63.9710
395	0.7654	-101.0400
396	0.7201	-83.7820
397	0.7881	-97.2110
398	0.7588	-83.0940
399	0.8107	-100.0700
400	0.7211	-153.27
401	0.3984	-62.639
402	0.5282	-101.75
403	0.7285	-143.08
404	0.4262	-74.236
405	0.474	-82.655
406	0.5137	-89.445
407	0.4295	-75.96
408	0.4347	-60.811
409	0.5411	-82.833
410	0.7191	-160.97
411	0.4602	-83.966
412	-1.000	-1.000
413	0.3998	-59.376
414	0.4045	-92.596
415	0.3684	-46.761
416	-1.000	-1.000
417	0.5942	-118.62
418	0.5998	-110.74
419	0.4259	-80.778
420	0.52	-102.64
421	0.6401	-145.2
422	0.3521	-56.733
423	0.4047	-67.86
424	-1.000	-1.000
425	0.5757	-93.207
426	0.6874	-122.72
427	0.4681	-91.476
428	0.6699	-146.47
429	0.3823	-45.838
430	0.5268	-98.814
431	0.389	-66.222
432	0.4999	-88.226
433	0.8979	-97.487
434	0.5224	-103.38
435	0.7951	-177.09
436	-1.000	-1.000
437	0.7854	-148.27
438	0.8399	-173.19
439	0.8252	-159.12
440	0.403	-64.02
441	0.5871	-117.37
442	0.6292	-89.049
443	0.4149	-69.074
444	0.4182	-72.918
445	0.8604	-183.08
446	0.8579	-156.42
447	0.6765	-143.3
448	0.5455	-91.462
449	0.8728	-161.03
450	0.8742	-193.76
451	-1.000	-1.000
452	0.8725	-194.24
453	0.8753	-186.91
454	0.876	-160.79
455	0.491	-94.052
456	0.4409	-70.975
457	0.7983	-180.23
458	0.8439	-181.88
459	0.8463	-191.51
460	1.6512	-332
461	0.8245	-161.27
462	0.4371	-41.083
463	0.6499	-150.72
464	0.9054	-188.22
465	0.8486	-174.5
466	0.769	-131.51
467	0.5156	-92.498
468	0.759	-118.58
469	0.6842	-126.87
470	0.7779	-170.15
471	0.6221	-118.03
472	0.621	-129.45
473	0.7114	-156.12
474	0.7581	-149.04
475	0.887	-193.78
476	0.5709	-111.71
477	0.5578	-90.169
478	0.8349	-166.26
479	0.6268	-134.89
480	0.3876	-51.893
481	0.3755	-53.971
482	0.4119	-75.153
483	0.5672	-98.573
484	-1.000	-1.000
485	0.3904	-67.547
486	0.4914	-67.279
487	-1.000	-1.000
488	-1.000	-1.000
489	0.6981	-139.97
490	0.7654	-138.51
491	0.4278	-46.193
492	0.8164	-156.24
493	0.4178	-72.775
494	0.9918	-192.07
495	1.0249	-195.49
